Titles,Ratings,Number_Of_Ratings,Prices,Durations,Tour_Provider
Skip-the-line Musée d'Orsay & Montmartre Guided Combo Tour - Private Tour,Excellent,17 ratings,£161,5-6 hours,Viator
Last Entry Versailles Small Group After the Crowds with Garden Show,Excellent,17 ratings,£89,4 hours,Viator
WWI Private Day Trip with Ypres Salient Battlefield in Flanders from Paris,Excellent,17 ratings,£596,12 hours,Viator
Self-Guided Paris Instagram Tour - Top Photo Spots,Excellent,16 ratings,£5,1 hour,Viator
The Darkest Secrets of Paris,Excellent,16 ratings,£28,2 hours,Viator
Small Group Guided Louvre Highlights Tour,Excellent,16 ratings,£72,1-2 hours,GetYourGuide
Paris Private Tour: Romantic Tour in a 2CV,Excellent,16 ratings,£82,2 hours,Viator
"Paris Private Bistrot Crawl: Wine, Beer and Aperitif",Excellent,16 ratings,£222,3 hours,Viator
Eiffel Tower 2nd Floor Skip the Line Ticket by Elevator,Excellent,16 ratings,£42,2 hours,Viator
Paris Half Day Tour in Vintage French Car with Open Roof,Excellent,16 ratings,£297,3 hours,Viator
Paris: Musée de Montmartre and Gardens Entry Ticket,Excellent,16 ratings,£11,Safety measures,GetYourGuide
Le Marais District & Jewish Quarter Guided Walking Tour - Semi-Private 8ppl Max,Excellent,16 ratings,£62,2-3 hours,Viator
Giverny and Auvers sur Oise Small Group Day Trip from Paris,Excellent,16 ratings,£213,9 hours,Viator
"Paris Medieval Private Tour: Ile de la Cité, Sainte Chapelle & Conciergerie",Excellent,16 ratings,£297,3 hours,Viator
Burgundy Wine Tasting Tour in Chablis with Local Wineries Visit with 12+ drinks,Excellent,16 ratings,£179,12 hours,Viator
"Paris: ""L'Oiseau Paradis"" Cabaret",Excellent,16 ratings,£60,1-2 hours,GetYourGuide
From Paris: Loire Valley Castles Full-Day Tour,Excellent,16 ratings,£179,12 hours,GetYourGuide
Food tour Belleville Off the Beaten Path 10:30 am,Excellent,15 ratings,£76,3 hours,Viator
The Pere Lachaise Cemetery Private Tour,Excellent,15 ratings,£213,2 hours,Viator
Private Tour: Fashion History in the Heart of Paris,Excellent,15 ratings,£84,3 hours,Viator
Paris Christmas illuminations + ferris wheel ride & Holiday market private Tour,Excellent,15 ratings,£212,3 hours,Viator
Skip the Line: Musée d'Orsay and Access to Self-guided tours in Paris,Excellent,15 ratings,£26,1-2 hours,Viator
Discover The Best Of Paris In 3 Hours,Excellent,14 ratings,£43,3 hours,Viator
2-Hour French Pastry Cooking Class in Paris,Excellent,14 ratings,£90,2-3 hours,GetYourGuide
Bonjour Paris! Your Fun Family Intro Private Tour,Excellent,14 ratings,£64,2 hours,Viator
Paris Catacombs Semi-Private Tour with VIP Access,Excellent,14 ratings,£101,1-2 hours,Viator
Tour in a vintage car with a Parisian,Excellent,14 ratings,£164,2 hours,Viator
Latin Quarter Le Quartier Latin Guided Walking Tour - Private Tour,Excellent,14 ratings,£62,2-3 hours,Viator
Montmartre & Sacré Coeur Private Historical 2-Hour Walking Tour in Paris,Excellent,14 ratings,£44,2 hours,Viator
Paris: Dinner with Customized Wine Selection,Excellent,14 ratings,£67,2 hours,GetYourGuide
Paris: Eiffel Tower Direct Access 2nd Level & Regular Summit,Excellent,14 ratings,£50,1-2 hours,GetYourGuide
Private Visit of Paris By Night : Romantic Tour on a Sidecar URAL,Excellent,14 ratings,£181,1-2 hours,Viator
Versailles Palace and Park Private Guided Day Tour from Paris,Excellent,14 ratings,£842,7-9 hours,Viator
"Bastille: Architecture, Artisans and Anarchy - Immersive Podcast Tour",Excellent,13 ratings,£10,45-60 minutes,Viator
The French Revolution - Paris Guided Historic Walk,Excellent,13 ratings,£25,2 hours,Viator
"Paris Street Art, smartphone audioguided tour",Excellent,13 ratings,£9,1-2 hours,Viator
Art Nouveau Walking Tour in Paris,Excellent,13 ratings,£65,2 hours,Viator
Stroll a Local French market & have a picnic,Excellent,13 ratings,£51,2-3 hours,Viator
Walking tour in Faubourg Saint Antoine,Excellent,13 ratings,£14,2 hours,Viator
French revolution and US independence in Paris,Excellent,13 ratings,£51,2-3 hours,Viator
Pere Lachaise Cemetery Guided Walking Tour - Private Tour,Excellent,13 ratings,£62,2-3 hours,Viator
Louvre Museum Skip the Line Must-Sees Guided Tour,Excellent,13 ratings,£47,1-2 hours,Viator
Private Tour: Secret Food Tours Paris Montmartre,Excellent,13 ratings,£140,3-4 hours,Viator
Basilica of St Denis: The Royal French Necropolis Semi-Private Tour,Excellent,13 ratings,£78,2-3 hours,Viator
Paris City Center & Skip-the-line Louvre Museum Tour - Semi-Private 8ppl Max,Excellent,13 ratings,£161,5-6 hours,Viator
1st Day in Paris Discovery Private Tour: 'How-to' Orientation & Sightseeing Fun!,Excellent,13 ratings,£83,2 hours,Viator
Saint-Germain Flavors Sweet & Savory Food Tasting Tour,Excellent,13 ratings,£82,3-4 hours,Viator
"Latin Quarter, on the path of a lost river. Private tour.",Excellent,13 ratings,£171,2-3 hours,Viator
Paris: Walking Tour of Montmartre in German,Excellent,13 ratings,£21,2 hours,GetYourGuide
EIFFEL TOWER 2h Photo Tour and Shooting,Excellent,13 ratings,£238,2 hours,Viator
Sainte-Chapelle: A Medieval Marvel - Immersive Podcast Tour by Expert Historian,Excellent,13 ratings,£5,45-60 minutes,Viator
Half Day Vintage Tour On A Sidecar Motorcycle (2 Hours),Excellent,13 ratings,£198,2 hours,Viator
Giverny Monet's House & Versailles Palace Private Day Trip from Paris,Excellent,13 ratings,£372,9 hours,Viator
Paris: Walking Food Tour,Excellent,12 ratings,£56,3 hours,GetYourGuide
Paris: Private Walking Tour in German,Excellent,12 ratings,£28,4 hours,GetYourGuide
Walking tour to discover Paris with real guide in Italian (no app),Excellent,12 ratings,£3,2 hours,Viator
TOUR in 2CV Paris 2H,Excellent,12 ratings,£152,2 hours,Viator
Evening Bike Tour & Boat Cruise,Excellent,12 ratings,£60,5 hours,Viator
Withlocals Your Way: 3 hour Paris 100% Personalized Food Tour,Excellent,12 ratings,£178,3 hours,Viator
Paris Vintage Tour by Night on a Sidecar with Champagne included,Excellent,12 ratings,£241,2 hours,Viator
Paris: Secret Montmartre Self-Guided Tour,Excellent,12 ratings,£7,1 hour,GetYourGuide
Paris: Street Art Smartphone Audio-Guided Tour,Excellent,12 ratings,£7,1 hour,GetYourGuide
Trendy Le Marais Private Tour: Tastings & Local Lifestyle,Excellent,12 ratings,£95,3 hours,Viator
"Pointe du Hoc,Omaha Beach, American Cemetery - Day trip from Paris to Normandy",Excellent,12 ratings,£215,13-14 hours,Viator
Le Marais Food Tour with a Local Guide: Private & Personalized ★★★★★,Excellent,12 ratings,£200,3 hours,Viator
Giverny and Versailles Small Group Day Trip from Paris,Excellent,12 ratings,£234,9 hours,Viator
Versailles: Skip-the-Line Entrance and Lunch at Ore,Excellent,12 ratings,£74,No data provided,GetYourGuide
KTV Karaoke - Karaoke Boxes,Excellent,11 ratings,£4,2-3 hours,Viator
Paris Street Art bike tour - Open Air Museum,Excellent,11 ratings,£37,3-4 hours,Viator
Latin Quarter Private Walking Tour,Excellent,11 ratings,£200,2 hours,Viator
Seine River Direct Access Guided Cruise with Kids by Vedettes de Paris,Excellent,11 ratings,£15,1 hour,Viator
"Bastille District: Food Tasting, Promenade Plantée and Viaduc des Arts Walking Tour",Excellent,11 ratings,£82,3 hours,Viator
Private Half-Day Trip to Versailles from Paris with Macarons,Excellent,11 ratings,£345,5 hours,Viator
Skip-the-Line Versailles Palace Family 5-hour Discovery from Paris,Excellent,11 ratings,£510,5 hours,Viator
Normandy D-Day Landing Beaches with Private Guide From Paris,Excellent,11 ratings,"£1,513",12 hours,Viator
See 15+ Top Sights Paris Tour with Fun Guide,Excellent,10 ratings,£38,3 hours,Viator
Paris: Choux Pastry and Chocolate Éclair Making Class,Excellent,10 ratings,£81,3 hours,GetYourGuide
Paris City Center History of Paris Guided Walking Tour - Private Tour,Excellent,10 ratings,£62,2-3 hours,Viator
Semi-Private Louvre Masterpieces with Skip-the-Line-Access,Excellent,10 ratings,£84,3 hours,Viator
Skip-the-line l'Orangerie Museum Guided Tour - Private Tour,Excellent,10 ratings,£89,2 hours,Viator
Paris Private and Customized Vintage Shopping Tour at Saint-Ouen Flea Market,Excellent,10 ratings,£130,4 hours,Viator
Montmartre Private Walking Tour,Excellent,10 ratings,£204,2 hours,Viator
Paris: Full-Day Classic & Night Tour,Excellent,10 ratings,£49,Safety measures,GetYourGuide
Père Lachaise Cemetery Walking Tour in Paris,Excellent,10 ratings,£21,2 hours,Viator
Tour en 2CV Paris 2h,Excellent,10 ratings,£152,2 hours,Viator
Private Tour: 2CV Paris City Highlights Tour 45m,Excellent,10 ratings,£84,45 minutes,Viator
"Mysteries & Legends, smartphone audioguided walking tour",Excellent,9 ratings,£9,1-2 hours,Viator
Louvre Semi Private Group Tour MAX 6 PEOPLE Guaranteed,Excellent,9 ratings,£84,2 hours,Viator
Paris’ Hidden Gems in Le Marais,Excellent,9 ratings,£25,1-2 hours,Viator
Bike Paris treasures with a live guide - Families & Friends,Excellent,9 ratings,£33,3 hours,Viator
Private Tour of Saint Germain des Pres,Excellent,9 ratings,£207,3 hours,Viator
Customized Parisian Photo Shoot,Excellent,9 ratings,£170,2 hours,Viator
Louvre Museum Skip the Line Access Private Guided Visit,Excellent,9 ratings,£213,2 hours,Viator
Paris Gourmet : South-Montmartre Food Tour,Excellent,9 ratings,£84,3 hours,Viator
Scandalous Paris-Belle Epoque Brothels & Courtesans,Excellent,9 ratings,£60,3 hours,Viator
"Virtual tour: Paris Live! Explore Montmartre, the Artists' Quarter",Excellent,9 ratings,£9,45 minutes,Viator
2CV tour by night,Excellent,9 ratings,£238,2-3 hours,Viator
Musée d'Orsay Museum Audio Guided Skip-the-Line Tour,Excellent,9 ratings,£42,1 day,Viator
Paris Christmas Gourmet Food Tour,Excellent,9 ratings,£129,3 hours,Viator
Paris Bike Tour + Bike Rental (Dutch Bike),Excellent,9 ratings,£32,8 hours,Viator
Paris Half-Day City Tour with a Private Driver,Excellent,9 ratings,£279,4 hours,Viator
Mont Saint Michel Tour From Paris,Excellent,9 ratings,£306,13 hours,Viator
Climb to the Eiffel Tower's Second Floor with Experienced Guide,Excellent,8 ratings,£26,2 hours,Viator
Paris: Louvre and Musée d'Orsay Skip-the-Ticket-Line Tour,Excellent,8 ratings,£126,5 hours,GetYourGuide
Cooking Class with a Parisian Chef,Excellent,8 ratings,£110,3 hours,GetYourGuide
"Half Day Paris City Tour with River Cruise, Small Group and Private Options",Excellent,8 ratings,£93,3 hours,Viator
"Marais HiddenTreasures, audioguided walking tour",Excellent,8 ratings,£9,1-2 hours,Viator
The Ultimate Louvre Express Private Tour,Excellent,8 ratings,£145,2 hours,Viator
Paris Top Attractions & Hidden Gems around your Hotel Private Orientation Tour,Excellent,8 ratings,£190,2 hours,Viator
Paris Small-Group Gourmet Food Tour With Optional Lunch and Wine Tasting,Excellent,8 ratings,£52,3 hours,Viator
Skip-the-line Paris Orsay Museum Private Tour for Kids and Families,Excellent,8 ratings,£185,1-3 hours,Viator
Louvre Museum Greatest Masterpieces Small Group and Skip-the-Line Tour,Excellent,8 ratings,£73,2 hours,Viator
Skip-the-line Musée d'Orsay & Montmartre Guided Tour - Semi-Private 8ppl Max,Excellent,8 ratings,£161,5-6 hours,Viator
Paris Romantic Private Tour in Vintage French Car with Open Roof,Excellent,8 ratings,£212,2 hours,Viator
Chartres and Its Cathedral: 5-Hour Tour from Paris with Private Transport,Excellent,8 ratings,£106,5 hours,Viator
Behind the scenes of UNESCO,Excellent,8 ratings,£13,1-2 hours,Viator
The Butte Montmartre as you have never seen.,Excellent,8 ratings,£11,2 hours,Viator
Château de Chantilly Tour from Paris Including the Great Stables of the Prince de Conde and a Renaissance-Style Meal,Excellent,8 ratings,£225,6 hours,Viator
Private Impressionism Tour with Skip-the-Line Musee d'Orsay,Excellent,8 ratings,£180,2-3 hours,Viator
Palais Garnier’s Secrets Private Tour,Excellent,8 ratings,£302,2 hours,Viator
"Royal Palace & Covered Passages, audioguided tour",Excellent,8 ratings,£9,1-2 hours,Viator
Versailles and Giverny Small Group Tour from Paris,Excellent,8 ratings,£204,9 hours,Viator
Montmartre French Bistrot Style Food & Wine Tasting Tour,Excellent,8 ratings,£104,2-3 hours,Viator
Giverny and Versailles Full-Day Private Guided Tour with Hotel Pickup,Excellent,8 ratings,£851,9 hours,Viator
Normandy Landing Beaches Private Day Tour from Paris,Excellent,8 ratings,"£1,156",12 hours,Viator
Notre Dame: Private Guided Visit,Excellent,7 ratings,£27,1-2 hours,GetYourGuide
Art Nouveau Architecture - Paris Guided Historic Walk,Excellent,7 ratings,£25,2 hours,Viator
Discover Paris Covered Passages + Royal Palace gardens,Excellent,7 ratings,£17,1-2 hours,Viator
Paris: Walking Food Tour in Saint Germain des Prés,Excellent,7 ratings,£84,3 hours,GetYourGuide
Skip-the-line Les Invalides World War Museum Guided Tour - Semi-Private 8ppl Max,Excellent,7 ratings,£89,1-2 hours,Viator
Skip-the-line Invalides Dome Louis XIV & Napoleon Tour - Private Tour,Excellent,7 ratings,£89,2 hours,Viator
Louvre under the Stars After Hours Museum Small Group Guided Tour,Excellent,7 ratings,£57,2 hours,Viator
"Le Marais Private Walking Tour with a Local, Explore its Old World Charm ★★★★★",Excellent,7 ratings,£150,3 hours,Viator
Vintage Private Tour: Sidecar Motorcycle Ural Paris (1hr30),Excellent,7 ratings,£146,1-2 hours,Viator
A Chef's Food Tour of Montmartre with Local Celebrity Chef PJ,Excellent,7 ratings,£115,3-30 minutes,Viator
Paris: 2-Hour Passages Private City Tour in German,Excellent,7 ratings,£17,2 hours,GetYourGuide
Pompidou Museum Paris 2-Hour Private Guided Tour,Excellent,7 ratings,£213,2 hours,Viator
Les Invalides: Napoleon & French Military History Semi-Private Tour,Excellent,7 ratings,£95,2-3 hours,Viator
Photoshoot in Paris,Excellent,7 ratings,£67,1 hour,Viator
All inclusive Bike and Breakfast tour in Paris,Excellent,7 ratings,£110,3-4 hours,Viator
Paris Layover Tour,Excellent,7 ratings,£298,4-6 hours,Viator
Giverny Morning Small Group Tour Claude Monet's House and Gardens,Excellent,7 ratings,£143,5 hours,Viator
Versailles Palace Private Skip the Line Access Half Day Guided Tour from Paris,Excellent,7 ratings,£281,4 hours,Viator
Normandy tour from Paris & meet a local producer and taste his products,Excellent,7 ratings,£340,10-14 hours,Viator
Giverny and Rouen Small Group Day Trip from Paris,Excellent,7 ratings,£217,9 hours,Viator
Skip-the-Line Private Louvre Tour,Excellent,7 ratings,£199,1-2 hours,Viator
Paris Private Day Tour & Seine Cruise for Kids and Families,Excellent,7 ratings,£684,8 hours,Viator
All inclusive : Tour of Paris secrets places where local like to hang out,Excellent,7 ratings,£553,4-5 hours,Viator
Versailles Full Day Private Guided Tour with Hotel Pickup,Excellent,7 ratings,£936,8 hours,Viator
"Trendy Marais, smartphone audioguided walking tour",Excellent,6 ratings,£9,1-2 hours,Viator
BEST OF PARIS : 3 smartphone audioguided tours,Excellent,6 ratings,£17,4-5 hours,Viator
Paris: Hands-On Small Group Cooking Class,Excellent,6 ratings,£119,3-4 hours,GetYourGuide
Private Orangerie Museum 2-Hour Guided Tour in Paris,Excellent,6 ratings,£63,2 hours,Viator
Segway Tour 120 min,Excellent,6 ratings,£68,2 hours,Viator
Skip-the-line Centre Pompidou Guided Museum Tour - Private Tour,Excellent,6 ratings,£89,2-3 hours,Viator
Modern and Contemporary Art 2-hour Private Tour at Centre Pompidou in Paris,Excellent,6 ratings,£63,2 hours,Viator
Paris Photo Shoot for Families and Couples (30 minutes),Excellent,6 ratings,£74,30 minutes,Viator
Paris Gourmet Food Tour,Excellent,6 ratings,£94,2-3 hours,Viator
Paris by Day 1h Tour in Vintage French Car,Excellent,6 ratings,£135,1 hour,Viator
In the Footsteps of the French Chef in Paris France,Excellent,6 ratings,£135,3-4 hours,Viator
1h30 - Louvre Highlights for families with children - English - Español,Excellent,6 ratings,£140,1-2 hours,Viator
Monmartre Tour with a Local Guide: Private & 100% Personalized ★★★★★,Excellent,6 ratings,£150,3 hours,Viator
2h PHOTO GAME and REPORTAGE with a local pro photographer,Excellent,6 ratings,£195,2 hours,Viator
"WW1 Australians in the Somme -Villers Bretonneux, Le Hamel - Day trip from Paris",Excellent,6 ratings,£169,12-13 hours,Viator
Private Citroën 2CV ride in Paris,Excellent,6 ratings,£169,2 hours,Viator
Paris Must-See Sites Tour for Families and Kids with Child-friendly Guide,Excellent,6 ratings,£186,3 hours,Viator
Le Marais Private Walking Tour,Excellent,6 ratings,£173,2 hours,Viator
Tour in 2CV Secret Paris 3h,Excellent,6 ratings,£237,3 hours,Viator
Half-Day Bouldering in Fontainebleau,Excellent,6 ratings,£284,4 hours,Viator
Versailles Palace & Gardens Tour with Gourmet Lunch,Excellent,6 ratings,£132,6 hours,GetYourGuide
Paris: Best Ever Food Tour,Excellent,6 ratings,£94,3 hours,GetYourGuide
Paris private tour,Excellent,6 ratings,£332,4 hours,Viator
Best Visit of Paris: Half Day tour in Vintage Sidecar Motorcycle Ural,Excellent,6 ratings,£319,3 hours,Viator
Paris: Latin Quarter 2-Hour Private or Group Walking Tour,Excellent,6 ratings,£44,2 hours,GetYourGuide
Louvre Museum Masterpieces Guided Tour,Excellent,6 ratings,£59,2 hours,Viator
Family Treasure Hunt in Montmartre,Excellent,6 ratings,£251,2 hours,Viator
Versailles Private Excursion,Excellent,6 ratings,£723,6 hours,Viator
Hemingway's Haunts in Paris - Private Walking Tour,Excellent,5 ratings,£47,2 hours,Viator
Harlem in Paris : the Birth of Jazz in France (Small Group Walking Tour),Excellent,5 ratings,£47,2 hours,Viator
